Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,46.459999,47.180000,46.110001,46.450001,46.018169,3452000
2020-11-10,46.310001,47.130001,45.830002,46.740002,46.305473,3658600
2020-11-11,46.700001,46.740002,45.520000,46.349998,45.919094,2556700
2020-11-12,46.369999,47.520000,44.590000,44.750000,44.333973,3819400
2020-11-13,45.040001,45.189999,43.950001,44.599998,44.185364,4209800
2020-11-16,45.200001,45.360001,44.259998,44.740002,44.324066,2169600
2020-11-17,44.200001,44.849998,43.820000,44.599998,44.185364,4073100
2020-11-18,44.599998,45.810001,44.130001,44.900002,44.482578,4913400
2020-11-19,45.000000,45.580002,44.340000,44.360001,43.947598,2054700
2020-11-23,43.700001,43.970001,43.320000,43.730000,43.323456,3092400
2020-11-24,43.910000,44.099998,43.310001,43.570000,43.164944,4777800
2020-11-25,43.410000,43.930000,43.410000,43.410000,43.006428,3476800
2020-11-26,43.450001,44.900002,43.410000,44.880001,44.462765,2376800
2020-11-27,44.880001,45.490002,44.400002,45.400002,44.977932,4057000
2020-11-30,45.500000,46.110001,44.540001,44.540001,44.125927,6932400
2020-12-01,45.480000,46.590000,44.720001,46.590000,46.156868,4817700
2020-12-02,46.650002,48.570000,46.500000,48.340000,47.890598,5685300
2020-12-03,48.549999,48.830002,47.430000,47.470001,47.028687,4353800
2020-12-04,47.270000,47.820000,46.040001,46.380001,45.948818,3117800
2020-12-07,46.169998,47.009998,45.500000,45.669998,45.245419,2287500
2020-12-08,45.459999,46.110001,45.070000,45.160000,44.740162,2402500
2020-12-09,45.459999,45.750000,44.709999,45.320000,44.898674,3667000
2020-12-10,45.459999,46.119999,44.520000,46.110001,45.681328,2622500
2020-12-11,45.619999,47.270000,45.299999,47.189999,46.751286,2840000
2020-12-14,47.360001,47.639999,45.259998,45.259998,44.839230,3950700
2020-12-15,45.259998,45.840000,44.740002,45.730000,45.304859,2676600
2020-12-16,45.730000,46.080002,44.450001,44.599998,44.185364,6087900
2020-12-17,44.639999,44.950001,43.880001,44.090000,43.680107,3965500
2020-12-18,44.130001,44.770000,43.669998,43.939999,43.531502,3639800
2020-12-21,43.610001,43.869999,42.840000,43.290001,42.887547,2710400
2020-12-22,43.299999,43.549999,42.959999,43.500000,43.095592,2576000
2020-12-23,43.619999,45.290001,43.119999,45.139999,44.720345,3368700
2020-12-28,45.400002,45.869999,44.910000,45.709999,45.285046,3134500
2020-12-29,45.900002,45.900002,44.529999,44.740002,44.324066,2810200
2020-12-30,44.750000,44.970001,43.910000,44.439999,44.026852,3429600
2021-01-04,44.689999,45.029999,42.560001,42.560001,42.164333,5274100
2021-01-05,42.470001,42.869999,41.500000,42.459999,42.065262,4327600
2021-01-06,42.299999,43.119999,41.610001,42.250000,41.857212,5286800
2021-01-07,42.349998,42.759998,41.939999,42.220001,41.827496,4030500
2021-01-08,42.310001,43.779999,42.049999,43.619999,43.214478,6990900
